,Name,Label,Formula,Sample,Intensity_x,Unlabeled Fragment,NA Corrected,Intensity_y,NA Corrected with zero,Pool_total,Fractional enrichment
0,Cpd2,C12 PARENT,C5H4N4,Sample 1,0.2761,Cpd2,0.2963672722596814,0.2761,0.2963672722596814,1.0018431399622223,0.29582203085291064
1,Cpd2,N15-label-1,C5H4N4,Sample 1,0.0033,Cpd2,-0.0007382024646082337,0.0033,0.0,1.0018431399622223,0.0
2,Cpd2,N15-label-2,C5H4N4,Sample 1,0.0002,Cpd2,0.00019806525573351605,0.0002,0.00019806525573351605,1.0018431399622223,0.00019770086536799038
3,Cpd2,H2-label-1,C5H4N4,Sample 1,0.0168,Cpd2,0.0012221728187100374,0.0168,0.0012221728187100374,1.0018431399622223,0.0012199243274312616
4,Cpd2,H2N15-label-1-1,C5H4N4,Sample 1,0.6568,Cpd2,0.7021515753504936,0.6568,0.7021515753504936,1.0018431399622223,0.7008597926587294
5,Cpd2,H2N15-label-1-2,C5H4N4,Sample 1,0.0068,Cpd2,-0.00034980869135662045,0.0068,0.0,1.0018431399622223,0.0
6,Cpd2,H2-label-2,C5H4N4,Sample 1,0.0002,Cpd2,-0.00023781878365006264,0.0002,0.0,1.0018431399622223,0.0
7,Cpd2,H2N15-label-2-1,C5H4N4,Sample 1,0.0389,Cpd2,0.0018736544143667635,0.0389,0.0018736544143667635,1.0018431399622223,0.0018702073604430886
8,Cpd2,H2N15-label-2-2,C5H4N4,Sample 1,0.0003,Cpd2,-0.00011004222598046164,0.0003,0.0,1.0018431399622223,0.0
9,Cpd2,H2N15-label-3-1,C5H4N4,Sample 1,0.0006,Cpd2,-0.000366428407169741,0.0006,0.0,1.0018431399622223,0.0
